product_id,product_name,description,category,subcategory,brand,supplier_name,current_price,unit_cost,weight_kg,is_active,reorder_point,created_at,updated_at
PROD-0001,TechCore Pro X1,High-quality pro x1 by TechCore.,Electronics,Smartphones,TechCore,TechCore Distribution Ltd,875.47,423.29,4.2,True,11,2020-05-11,2021-06-22
PROD-0002,TechCore Ultra 12,High-quality ultra 12 by TechCore.,Electronics,Smartphones,TechCore,TechCore Distribution Ltd,909.02,549.87,1.4,True,6,2019-01-20,2024-02-26
PROD-0003,TechCore Vision Max,High-quality vision max by TechCore.,Electronics,Smartphones,TechCore,TechCore Distribution Ltd,384.32,196.99,9.07,True,50,2019-08-02,2022-01-16
PROD-0004,TechCore Lite 5,High-quality lite 5 by TechCore.,Electronics,Smartphones,TechCore,TechCore Distribution Ltd,884.89,492.26,3.38,True,5,2019-06-23,2021-08-05
PROD-0005,TechCore Pro X1,High-quality pro x1 by TechCore.,Electronics,Smartphones,TechCore,TechCore Distribution Ltd,982.92,493.77,6.4,True,18,2020-07-26,2021-06-09
PROD-0006,NovaPixel Galaxy S,High-quality galaxy s by NovaPixel.,Electronics,Smartphones,NovaPixel,NovaPixel Direct,972.18,486.57,1.48,True,27,2020-06-09,2024-02-25
PROD-0007,NovaPixel Edge Pro,High-quality edge pro by NovaPixel.,Electronics,Smartphones,NovaPixel,NovaPixel Direct,742.41,423.97,10.97,True,29,2020-11-23,2023-04-28
PROD-0008,NovaPixel Nano Fold,High-quality nano fold by NovaPixel.,Electronics,Smartphones,NovaPixel,NovaPixel Direct,401.21,198.19,9.47,True,28,2019-03-09,2023-07-07
PROD-0009,NovaPixel Galaxy S,High-quality galaxy s by NovaPixel.,Electronics,Smartphones,NovaPixel,NovaPixel Direct,725.27,403.02,0.78,True,23,2019-11-24,2021-02-19
PROD-0010,NovaPixel Edge Pro,High-quality edge pro by NovaPixel.,Electronics,Smartphones,NovaPixel,NovaPixel Direct,990.38,572.73,13.01,True,34,2019-01-24,2021-05-26
PROD-0011,ProBook Elite 15,High-quality elite 15 by ProBook.,Electronics,Laptops,ProBook,ProBook Components Inc,1326.38,735.78,5.62,True,22,2019-06-19,2021-12-28
PROD-0012,ProBook Air 13,High-quality air 13 by ProBook.,Electronics,Laptops,ProBook,ProBook Components Inc,1412.36,850.99,1.16,True,39,2020-01-28,2023-07-25
PROD-0013,ProBook Studio Pro,High-quality studio pro by ProBook.,Electronics,Laptops,ProBook,ProBook Components Inc,1447.85,759.41,5.75,True,45,2019-01-21,2023-05-22
PROD-0014,ProBook Flex 360,High-quality flex 360 by ProBook.,Electronics,Laptops,ProBook,ProBook Components Inc,1394.6,743.24,4.93,True,8,2019-06-04,2024-01-18
PROD-0015,ProBook Elite 15,High-quality elite 15 by ProBook.,Electronics,Laptops,ProBook,ProBook Components Inc,797.75,402.72,4.8,True,18,2020-05-19,2023-12-26
PROD-0016,CloudSlate X1 Carbon,High-quality x1 carbon by CloudSlate.,Electronics,Laptops,CloudSlate,CloudSlate Supply Co,1417.47,813.25,10.8,True,36,2020-02-28,2022-10-14
PROD-0017,CloudSlate Slim 14,High-quality slim 14 by CloudSlate.,Electronics,Laptops,CloudSlate,CloudSlate Supply Co,925.84,572.99,6.94,True,20,2019-06-21,2022-11-29
PROD-0018,CloudSlate WorkStation Pro,High-quality workstation pro by CloudSlate.,Electronics,Laptops,CloudSlate,CloudSlate Supply Co,1257.73,716.99,11.23,True,42,2020-04-02,2022-03-09
PROD-0019,CloudSlate X1 Carbon,High-quality x1 carbon by CloudSlate.,Electronics,Laptops,CloudSlate,CloudSlate Supply Co,929.42,491.21,14.96,True,10,2020-09-20,2021-01-11
PROD-0020,CloudSlate Slim 14,High-quality slim 14 by CloudSlate.,Electronics,Laptops,CloudSlate,CloudSlate Supply Co,1267.98,775.93,2.38,True,48,2020-08-12,2024-06-05
PROD-0021,SoundWave ANC 700,High-quality anc 700 by SoundWave.,Electronics,Headphones,SoundWave,SoundWave Audio Ltd,165.08,59.88,5.79,True,38,2019-05-05,2023-12-21
PROD-0022,SoundWave Pro 3,High-quality pro 3 by SoundWave.,Electronics,Headphones,SoundWave,SoundWave Audio Ltd,110.44,50.87,14.14,True,12,2019-11-25,2022-06-13
PROD-0023,SoundWave Bass Plus,High-quality bass plus by SoundWave.,Electronics,Headphones,SoundWave,SoundWave Audio Ltd,248.14,113.5,4.08,True,12,2019-08-04,2021-08-30
